#logm Delta_logm
7.5000 0.0964
7.5200 0.0963
7.5400 0.0961
7.5600 0.0959
7.5800 0.0956
7.6000 0.0954
7.6200 0.0952
7.6400 0.0950
7.6600 0.0947
7.6800 0.0945
7.7000 0.0944
7.7200 0.0942
7.7400 0.0941
7.7600 0.0940
7.7800 0.0940
7.8000 0.0940
7.8200 0.0941
7.8400 0.0943
7.8600 0.0945
7.8800 0.0947
7.9000 0.0951
7.9200 0.0955
7.9400 0.0961
7.9600 0.0967
7.9800 0.0974
8.0000 0.0982
8.0200 0.0992
8.0400 0.1002
8.0600 0.1014
8.0800 0.1027
8.1000 0.1041
8.1200 0.1056
8.1400 0.1073
8.1600 0.1091
8.1800 0.1111
8.2000 0.1132
8.2200 0.1155
8.2400 0.1179
8.2600 0.1205
8.2800 0.1232
8.3000 0.1261
8.3200 0.1292
8.3400 0.1324
8.3600 0.1359
8.3800 0.1394
8.4000 0.1432
8.4200 0.1471
8.4400 0.1512
8.4600 0.1554
8.4800 0.1599
8.5000 0.1645
8.5200 0.1693
8.5400 0.1742
8.5600 0.1794
