#logLRbul_evol(LsunR)        logLRhost_evol(LsunR)        elogL(LsunR)        logMBH(Msun)        elogMBH        redshift        name
10.49        10.49        0.20       7.71        0.21        0.03301        3C120
10.51        10.51        0.20       8.43        0.10        0.0561         3C390.3
10.21        10.67        0.20       8.15        0.06        0.03271        Ark120
 9.60         9.99        0.20       7.69        0.12        0.02219        Mrk79
 9.39         9.90        0.20       7.37        0.11        0.03529        Mrk110
 9.85        10.30        0.20       7.51        0.11        0.03045        Mrk279
 9.59         9.98        0.20       7.12        0.11        0.02579        Mrk335
 9.96        10.43        0.20       7.65        0.07        0.02639        Mrk590
 9.32        10.30        0.20       7.66        0.07        0.03146        Mrk817
11.24        11.24        0.20       8.54        0.09        0.155          PG0052+251
10.74        10.74        0.20       8.81        0.05        0.1            PG0804+761
10.50        10.50        0.20       7.94        0.18        0.064          PG0844+349
10.38        10.38        0.20       8.13        0.13        0.0809         PG1211+143
11.54        11.54        0.20       8.92        0.09        0.15834        PG1226+023
10.26        10.66        0.20       7.83        0.21        0.06301        PG1229+204
10.52        10.52        0.20       8.62        0.14        0.0896         PG1411+442
11.39        11.39        0.20       8.42        0.20        0.129          PG1613+658
11.34        11.34        0.20       8.86        0.10        0.292          PG1700+518
 9.78        10.38        0.20       7.55        0.17        0.06298        PG2130+099
