#ID	redshift	logMBH(Msun)	err_logMBH	logM*(Msun)	err_logM*				
#local sample by Bennert 2011									
Bennert2011	0.054   7.58	0.40	10.12	0.24				
Bennert2011	0.043   8.15	0.40	10.95	0.23				
Bennert2011	0.076   7.58	0.40	10.33	0.22				
Bennert2011	0.041   7.31	0.40	10.38	0.23				
Bennert2011	0.051   8.66	0.40	10.50	0.23				
Bennert2011	0.0524  7.12	0.40	10.32	0.23				
Bennert2011	0.0475  7.81	0.40	9.83	0.24				
Bennert2011	0.055   7.98	0.40	10.41	0.23				
Bennert2011	0.0355  7.91	0.40	10.33	0.22				
Bennert2011	0.021   7.51	0.40	10.20	0.22				
Bennert2011	0.038   7.50	0.40	10.26	0.22				
Bennert2011	0.0229  7.64	0.40	9.94	0.24				
Bennert2011	0.047   7.79	0.40	10.14	0.22				
Bennert2011	0.0559  7.12	0.40	9.65	0.22				
Bennert2011	0.0501  8.10	0.40	10.11	0.23				
Bennert2011	0.0541  7.22	0.40	10.04	0.23				
Bennert2011	0.0558  7.65	0.40	10.73	0.21				
Bennert2011	0.0365  7.62	0.40	10.30	0.24				
Bennert2011	0.0304  7.97	0.40	10.24	0.24				
Bennert2011	0.0481  7.42	0.40	9.92	0.22				
Bennert2011	0.0483  7.77	0.40	10.00	0.23				
Bennert2011	0.0465  7.69	0.40	9.82	0.23				
Bennert2011	0.0532  7.92	0.40	9.95	0.23				
Bennert2011	0.0585  7.36	0.40	10.33	0.22				
Bennert2011	0.0409  7.49	0.40	10.33	0.22				
#local sample by Haring04									
Haring04	3.75E-03	9.48	0.21	11.78	0.18				
Haring04	3.49E-03	7.15	0.14	10.36	0.18				
Haring04	2.47E-03	8.00	0.10	10.83	0.18				
Haring04	4.28E-03	8.63	0.21	11.56	0.18				
Haring04	7.34E-03	8.72	0.32	11.56	0.18				
Haring04	2.43E-02	8.72	0.31	11.75	0.18				
Haring04	1.36E-02	8.52	0.21	11.46	0.18				
Haring04	3.61E-03	7.15	0.18	9.79	0.18				
Haring04	5.60E-03	7.57	0.17	11.11	0.18				
Haring04	6.78E-03	9.40	0.40	11.46	0.18				
Haring04	1.77E-04	7.65	0.19	10.57	0.18				
Haring04	1.89E-04	6.40	0.34	8.90	0.18				
Haring04	2.66E-03	7.64	0.47	10.84	0.18				
Haring04	5.33E-03	7.15	0.23	10.88	0.18				
Haring04	2.26E-03	9.00	0.24	11.08	0.18				
Haring04	4.86E-03	8.32	0.28	10.83	0.18				
Haring04	2.61E-03	8.00	0.62	10.20	0.18				
Haring04	2.70E-03	7.20	0.44	10.30	0.18				
Haring04	5.35E-03	8.28	0.26	10.99	0.18				
Haring04	6.09E-03	8.49	0.21	11.11	0.18				
Haring04	3.56E-03	8.48	0.25	10.08	0.18				
Haring04	3.66E-03	8.04	0.57	10.96	0.18				
Haring04	3.49E-03	7.75	0.43	10.64	0.18				
Haring04	2.28E-03	9.00	0.33	11.43	0.18				
Haring04	3.91E-03	9.30	0.05	11.69	0.18				
Haring04	2.73E-03	8.23	0.63	11.04	0.18				
Haring04	6.02E-03	8.38	0.11	10.57	0.18				
Haring04	5.35E-03	7.11	0.18	10.18	0.18				
Haring04	3.07E-03	6.54	0.15	9.85	0.18				
Haring04	2.33E-05	6.57	0.16	10.04	0.18				
