#name					z						 	LR_SED		error			M*			error
COSMOS50				1.411						10.74		0.05			10.44		0.02		
COSMOS452				1.407						11.07		0.03			10.72		0.01
COSMOS597				1.272						10.65		0.03			10.64		0.01
COSMOS3570				1.244						10.97		0.01			11.16		0.02
COSMOS70				1.667						10.92		0.02			11.50		0.01
COSMOS216				1.567						10.96		0.20			10.96		0.02
COSMOS360				1.579						11.04		0.02			11.05		0.04
COSMOS454				1.478						11.04		0.30			11.26		0.30
COSMOS1281				1.445						10.31		0.15			9.83		0.01	
COSMOS543				1.301						10.71		0.03			11.25		0.01
COSMOS607				1.294						10.95		0.04			11.87		0.02
COSMOS206				1.483						10.82		0.02			11.05		0.01
COSMOS237				1.618						11.13		0.05			11.59		0.02
COSMOS1174				1.552						10.98		0.02			11.11		0.02
COSMOS1273				1.617						11.12		0.02			12.03		0.02
COSMOS1538				1.527						11.20		0.03			11.42		0.01
COSMOS3242				1.532						11.15		0.05			11.73		0.01
COSMOS2138				1.551						10.45		0.03			11.45		0.01
COSMOS2202				1.516						11.18		0.06			11.18		0.01
COSMOS2396				1.600						11.50		0.04			11.81		0.01
CDFS1					1.630						10.81		0.05			9.95		0.03
CDFS321					1.570						11.49		0.05			10.74		0.25
CDFS358					1.626						11.18		0.02			10.68		0.02
CDFS229					1.326						10.71		0.03			9.88		0.03
CDFS724					1.337						10.01		0.03			9.79		0.21
SXDSX50					1.411						10.71		0.18			10.43		0.02
SXDSX717				1.276						10.78		0.15			9.95		0.03
SXDSX763				1.412						8.99 		0.08			8.64		0.80
SXDSX1136				1.325						10.76		0.03			9.47		0.03
SXDSX735				1.447						11.09		0.02			9.76		0.06
SXDSX969				1.585						10.90		0.05			10.16		0.03
