# My table one
#z, RA, DEC
1.552 150.2789 1.9595
1.445 150.4160 2.5258
1.483 149.8371 2.0088
1.567 149.7918 1.8729
1.618 149.9916 1.7243
1.664 150.1017 1.8483
1.532 149.7113 2.1452
1.244 149.6411 2.1076
1.407 150.0045 2.2371
1.478 149.8681 2.3307
1.239 150.2080 2.0833
1.301 150.4519 2.1448
1.272 150.5262 2.2449
1.294 150.6097 2.3231
1.667 150.4051 2.2701
1.617 150.0565 1.6275
1.527 150.6215 2.1588
1.579 150.1251 2.8617
1.551 149.7036 2.5781
1.516 150.6530 1.9969
1.600 149.4779 2.6425
1.630 52.8990 -27.8600
1.326 53.0680 -27.6580
1.570 53.0486 -27.6239
1.337 53.2870 -27.6940
1.626 53.0850 -28.0370
1.325 34.8925 -5.1498
1.411 34.0267 -5.0602
1.276 34.5400 -5.0334
1.447 34.5581 -4.8781
1.412 34.5849 -4.7864
1.585 34.7594 -5.4291
