#z, logMBH(0.4dex), logM*(0.35dex) 
0.73 7.72 10.30
0.34 8.29 11.23
0.34 8.08 10.65
0.34 8.39 11.02
0.35 7.39 10.54
0.34 8.66 11.14
0.38 7.77 10.68
0.35 7.24 10.95
0.85 8.29 11.07
0.70 8.15 11.17
0.44 7.79 10.57
0.35 7.59 10.47
0.37 8.58 10.57
0.77 8.49 10.86
0.73 8.03 11.01
0.83 8.07 10.81
0.52 8.01 10.54
0.73 7.41 10.36
0.36 8.07 11.28
0.55 7.75 11.08
0.69 7.91 10.66
0.53 8.22 10.84
0.62 7.35 10.53
0.67 7.73 10.75
0.79 8.24 10.53
0.52 8.38 11.15
0.37 7.70 10.48
0.55 8.61 11.20
0.63 7.50 10.73
0.82 7.82 10.77
0.66 8.19 11.03
0.38 8.25 11.08
