#        zzz         KKK        DMDM
#
           1      0.8485        44.1
        1.05      0.8417       44.23
         1.1      0.8335       44.36
        1.15      0.8135       44.48
         1.2      0.7995       44.59
        1.25      0.7901        44.7
         1.3      0.7703        44.8
        1.35      0.7442       44.91
         1.4      0.7203          45
        1.45      0.6969        45.1
         1.5      0.6725       45.19
        1.55       0.649       45.28
         1.6      0.6248       45.36
        1.65      0.5938       45.44
         1.7      0.5601       45.52
        1.75      0.5199        45.6
         1.8      0.4721       45.68
        1.85      0.4251       45.75
         1.9      0.3788       45.82
        1.95      0.3348       45.89
           2      0.2875       45.96
