#SDSS_J   z   L_bol   M_BH   M_acc   M_*
# John send me the data from Kund.
083253.96 +434712.5 1.841 46.58 8.55 6.56 10.69
084632.93 +272343.2 2.039 47.15 8.68 24.63 10.81
091555.62 +294741.6 2.086 46.76 8.67 10.22 10.8
101415.24 +404113.5 1.96 46.92 8.65 14.33 10.77
102549.18 +220435.6 2.064 46.88 8.67 13.11 10.79
110621.43 +104432.5 1.86 46.72 8.6 9.15 10.73
114415.49 +452445.2 1.879 46.61 8.62 7.21 10.75
123623.34 +281158.3 1.953 46.89 8.67 13.74 10.79
130418.72 +240935.1 1.894 46.96 8.6 15.88 10.73
130913.27 +381751.0 1.807 46.66 8.64 7.92 10.77
141449.07 +421649.1 1.846 46.59 8.63 6.78 10.76
141551.86 +110316.3 1.873 46.85 8.58 12.38 10.72
141811.67 +271103.2 2.023 46.55 8.58 6.19 10.72
142632.62 +295948.8 1.934 46.74 8.64 9.77 10.77
142723.96 +533858.7 1.96 46.83 8.56 11.95 10.69
151312.67 +303542.7 1.943 46.71 8.68 8.96 10.81
153014.46 +070430.9 1.966 46.66 8.69 8.14 10.81
153946.63 +271105.7 2.145 46.83 8.61 11.67 10.74
154632.34 +223637.8 1.984 46.95 8.62 15.9 10.75
155631.49 +080051.7 1.914 47.02 8.51 18.22 10.65
162411.38 +220428.0 2.004 46.7 8.63 8.67 10.76
