#ID M_r log(MBH/M_sun) log(M_star/M_sun)
CID1174 -23.015 7.992 11.008
CID1281 -21.409 7.749 10.366
CID206 -22.543 8.528 10.819
CID216 -23.015 7.854 11.008
CID237 -23.341 8.289 11.139
CID255 -23.094 8.273 11.04
CID3242 -23.299 8.449 11.122
CID3570 -22.845 7.888 10.94
CID452 -23.206 8.295 11.084
CID454 -23.159 8.311 11.066
CID50 -23.064 8.423 11.028
CID543 -22.148 8.187 10.661
CID597 -22.207 7.813 10.685
CID607 -22.937 8.526 10.977
CID70 -22.85 8.269 10.942
LID1273 -23.68 8.561 11.274
LID1538 -23.199 8.469 11.082
LID360 -23.093 8.45 11.039
XID2138 -22.626 8.552 10.852
XID2202 -23.269 8.463 11.11
XID2396 -23.182 8.455 11.075
CDFS-1 -22.175 7.838 10.672
CDFS-229 -22.632 8.2 10.855
CDFS-321 -24.194 8.457 11.48
CDFS-724 -20.53 8.025 10.014
ECDFS-358 -23.295 8.122 11.12
SXDS-X1136 -22.277 8.333 10.713
SXDS-X50 -22.402 7.942 10.763
SXDS-X717 -22.325 8.204 10.732
SXDS-X735 -23.374 8.44 11.152
SXDS-X763 -20.259 8.465 9.906
SXDS-X969 -22.968 8.196 10.989
