#ID M_r log(MBH/M_sun) log(M_star/M_sun)
CID1174 -23.015 8.412 10.854
CID1281 -21.409 7.749 10.211
CID206 -22.543 8.528 10.665
CID216 -23.015 7.854 10.853
CID237 -23.341 8.289 10.984
CID3242 -23.299 8.531 10.967
CID3570 -22.845 7.888 10.785
CID452 -23.206 8.256 10.93
CID454 -23.159 8.311 10.911
CID50 -23.064 8.286 10.873
CID543 -22.148 8.187 10.507
CID597 -22.207 7.813 10.53
CID607 -22.937 8.541 10.822
CID70 -22.85 8.479 10.788
LID1273 -23.68 8.561 11.119
LID1538 -23.199 8.469 10.927
LID360 -23.093 8.409 10.885
XID2138 -22.626 8.402 10.698
XID2202 -23.269 8.463 10.955
XID2396 -23.182 8.483 10.92
CDFS-1 -22.175 8.789 10.518
CDFS-229 -22.632 8.082 10.7
CDFS-321 -24.194 8.457 11.325
CDFS-724 -20.53 8.093 9.86
ECDFS-358 -23.295 8.122 10.966
SXDS-X1136 -22.277 8.63 10.558
SXDS-X50 -22.402 7.942 10.608
SXDS-X717 -22.325 8.204 10.577
SXDS-X735 -23.374 8.49 10.997
SXDS-X763 -20.259 8.47 9.751
SXDS-X969 -22.968 8.045 10.835
