#flag_conf	ID_object	Mstar (in units of 10^10 solar masses)
#
#CCOSMOS
2          50  				7.7    		   				
1         452  				5.4       
1         543  				0.9      
1         597  				1.9      
2         607  				5.1E-002  
1        3570  				16.8       
2          70  				11.5       
2         206  				4.3E-002  
1         216  				5.3       
1         237  				0.6       
1         360  				0.6       
1         454  				9.1       
1        1174  				1.6       
2        1273  				0.9      
1        1281  				0.7        
2        1538  				1.1      
1        3242  				5.2      
1        2138  				0.4       
1        2202  				0.4       
2        2396  				0.3    
#CDFS		  				
1		 229  				0.7 
2		 724   				1.4
2          1   				0.6          
2        321   				1.0          
2        358   				0.4                				
#SXDS          				
2        735  				6.6E-002   
2        969  				0.1 
2         50 				2.4      
2        717 				32.4      
2        763 				5.1E-003 				# very similar H/T from SED and IMAGE decomp, BUT too small(!!) 
2        1136 				6.3E-002 
		 
		
