#ID M*_SED M*_IMAGEDEC LR_SED LR_IMAGEDEC agreement
1174 11.11 10.78 10.98 10.78 1
1281 9.83  10.14  10.31 10.41 1
206 11.05  10.59 10.82 10.59  1
216 10.96 10.78  10.96 11.05  1
237 11.59  10.91  11.1 10.91  1
255 -99 -99 -99 -99 -99
3242 11.73  10.89 11.15 10.89  0
3570 11.16  10.71 10.97 10.98  1
452 10.72 10.86  11.07 11.13  1
454 11.04  11.11 11.26 10.54 1
50 10.44 10.54  10.75 11.07  1
543 10.71 10.7 11.25 10.43  1
597 10.64  10.46 10.73 10.65  1
607 11.87  10.75 10.95 10.75 0
70 11.50  10.72  10.92 10.98  0
1273 12.03 11.05 11.12 11.05  0
1538 11.42  10.86 11.2 10.86  1
360 11.05  10.81 11.04 11.08 1
2138 10.45  10.63 11.07 11.13  0
2202 11.18 10.88 11.18 10.88 0
2396 11.5 10.85 11.18 10.88  1
1 9.95  10.45 10.81 10.45  1
229 9.88 10.63  10.71 10.63  1
321 11.49 11.25 11.18 10.88 1
724 9.79  9.79  10.01 9.79  1
358 10.68  10.89 11.18 10.89 1
1136 9.47 10.49 10.76 10.49 1
50 10.44  10.54  10.75 11.07  1
717 9.95  10.51 10.78 10.51 1
735 9.76  10.92  11.09 10.82 1
763 8.64 9.68 8.99 9.95 1
969 10.16 10.76  10.9 10.76  1
