#ID	redshift	logMBH(Msun)	err_logMBH	logLhostR_evol(LsunR)	err_logLhostR_evol(LsunR)  flag
#32 QSO sample		M_BH range [7.5, 10]			
CID1174     1.552  7.99  0.40  10.45  0.13  7
CID1281     1.445  7.75  0.40   9.83  0.13  7
CID206      1.483  8.53  0.40  10.28  0.38  7
CID216      1.567  7.85  0.40  10.44  0.03  7
CID237      1.618  8.29  0.40  10.56  0.10  7
CID255      1.664  8.27  0.40  10.45  0.13  7
CID3242     1.532  8.45  0.40  10.57  0.12  7
CID3570     1.244  7.89  0.40  10.46  0.02  7
CID452      1.407  8.30  0.40  10.56  0.03  7
CID454      1.478  8.31  0.40  10.52  0.04  7
CID50       1.239  8.42  0.40  10.55  0.27  7
CID543      1.301  8.19  0.40  10.17  0.14  7
CID597      1.272  7.81  0.40  10.20  0.19  7
CID607      1.294  8.53  0.40  10.49  0.19  7
CID70       1.667  8.27  0.40  10.35  0.11  7
LID1273     1.617  8.56  0.40  10.70  0.08  7
LID1538     1.527  8.47  0.40  10.53  0.09  7
LID360      1.579  8.45  0.40  10.47  0.05  7
XID2138     1.551  8.55  0.40  10.29  0.06  7
XID2202     1.516  8.46  0.40  10.56  0.11  7
XID2396     1.600  8.46  0.40  10.50  0.21  7
CDFS-1      1.630  8.79  0.40  10.09  0.14  7
CDFS-229    1.326  8.08  0.40  10.35  0.05  7
CDFS-321    1.570  8.46  0.40  10.91  0.22  7
CDFS-724    1.337  8.09  0.40   9.51  0.19  7
ECDFS-358   1.626  8.12  0.40  10.54  0.11  7
SXDS-X1136  1.325  8.33  0.40  10.21  0.09  7
SXDS-X50    1.411  7.94  0.40  10.24  0.10  7
SXDS-X717   1.276  8.20  0.40  10.25  0.06  7
SXDS-X735   1.447  8.44  0.40  10.62  0.11  7
SXDS-X763   1.412  8.47  0.40   9.38  0.34  7
SXDS-X969   1.585  8.20  0.40  10.42  0.17  7
#Sample from Park 15		M_BH range same as Park et al 15			
S09   0.3545	7.99	0.40	10.85	0.20  1
S10   0.3513	8.44	0.40	10.83	0.20  1
S12   0.3583	8.78	0.40	10.82	0.20  1
S21   0.3546	8.93	0.40	11.10	0.20  1
S16   0.3702	8.02	0.40	10.32	0.20  1
S23   0.3513	8.82	0.40	10.84	0.20  1
S24   0.3619	8.20	0.40	10.94	0.20  1
S26   0.3692	8.00	0.40	10.55	0.20  1
S27   0.3669	7.85	0.40	10.87	0.20  1
S01   0.3594	8.15	0.40	10.67	0.20  1
S02   0.3544	8.02	0.40	10.48	0.20  1
S03   0.3584	8.17	0.40	10.80	0.20  1
S04   0.3579	8.11	0.40	10.78	0.20  1
S05   0.3535	8.73	0.40	10.74	0.20  1
S06   0.3688	7.72	0.40	10.74	0.20  1
S07   0.352	   8.53	0.40	10.82	0.20  1
S08   0.3586	7.74	0.40	10.69	0.20  1
S11   0.3559	7.76	0.40	10.70	0.20  1
SS1   0.3566	7.73	0.40	10.74	0.20  2
SS2   0.3671	7.56	0.40	10.56	0.20  2
SS5   0.3735	7.98	0.40	10.45	0.20  2
S31   0.3506	8.19	0.40	10.80	0.20  1
SS6   0.3588	7.39	0.40	10.27	0.20  2
SS7   0.3613	7.67	0.40	10.54	0.20  2
SS8   0.3655	7.85	0.40	10.72	0.20  2
SS9   0.3702	7.95	0.40	10.61	0.20  2
SS10  0.3658	8.10	0.40	10.61	0.20  2
SS11  0.3731	7.83	0.40	10.62	0.20  2
SS12  0.3629	8.15	0.40	10.46	0.20  2
SS13  0.3743	7.69	0.40	10.39	0.20  2
S28   0.3678	8.12	0.40	10.70	0.20  1
SS14  0.3706	7.45	0.40	10.27	0.20  2
S29   0.3574	7.95	0.40	10.49	0.20  1
SS18  0.3585	7.51	0.40	10.42	0.20  2
W11   0.565	   7.95	0.40	10.44	0.20  3
W22   0.5652	8.68	0.40	10.98	0.20  3
W12   0.5623	8.94	0.40	10.69	0.20  3
W20   0.5761	8.60	0.40	10.73	0.20  3
W16   0.578	   7.86	0.40	10.51	0.20  3
W8    0.5712	8.74	0.40	10.72	0.20  3
W3    0.576	   8.76	0.40	10.58	0.20  3
SS15  0.3593	7.44	0.40	10.16	0.20  2
W1    0.5736	8.84	0.40	10.65	0.20  3
W4    0.5766	8.28	0.40	10.71	0.20  3
W5    0.5767	8.29	0.40	10.66	0.20  3
SS3   0.3566	7.51	0.40	10.58	0.20  2
SS4   0.3629	7.85	0.40	10.61	0.20  2
W17   0.5617	8.31	0.40	10.51	0.20  3
W2    0.572	   9.07	0.40	10.62	0.20  3
W10   0.5711	7.94	0.40	10.48	0.20  3
W14   0.5617	8.68	0.40	10.68	0.20  3
W9    0.5654	8.70	0.40	10.67	0.20  3
B11   1.227	   8.87	0.40	10.76	0.20  5
B11   1.9	   9.17	0.40	11.04	0.20  5
B11   1.22	   8.24	0.40	10.70	0.20  5
B11   1.031	   7.85	0.40	11.00	0.20  5
B11   1.617	   8.08	0.40	10.86	0.20  5
B11   1.615	   8.30	0.40	10.90	0.20  5
B11   1.037	   7.75	0.40	10.01	0.20  5
B11   1.218	   8.37	0.40	10.87	0.20  5
B11   1.371	   8.27	0.40	11.10	0.20  5
B11   1.021	   8.35	0.40	10.91	0.20  5
B11   1.45	   8.77	0.40	10.87	0.20  5
SS13  0.717	   7.28	0.40	10.54	0.20  6
SS13  1.065	   7.07	0.40	 9.99	0.20  6
SS13  0.96	   7.43	0.40	10.92	0.20  6
SS13  0.97	   8.23	0.40	10.01	0.20  6
SS13  0.544	   8.61	0.40	10.86	0.20  6
SS13  1.044	   7.90	0.40	10.45	0.20  6
SS13  0.675	   7.95	0.40	10.66	0.20  6
SS13  0.569	   8.11	0.40	10.88	0.20  6
SS13  0.737	   9.14	0.40	11.34	0.20  6
SS13  0.664	   7.05	0.40	10.41	0.20  6
SS13  0.837	   8.37	0.40	10.48	0.20  6
SS13  0.74	   8.02	0.40	11.11	0.20  6
SS13  0.733	   7.93	0.40	11.02	0.20  6
SS13  0.622	   7.61	0.40	10.99	0.20  6
SS13  1.034	   8.12	0.40	10.45	0.20  6
SS13  0.841	   8.65	0.40	11.19	0.20  6
