#        zzz        K140        K125        K814     C814125     C814140        DMDM
#
           1      0.7949      0.7222     -0.2002      0.9224      0.9951        44.1
        1.05      0.8078      0.7276     -0.3024        1.03        1.11       44.23
         1.1      0.8191      0.7306     -0.4047       1.135       1.224       44.36
        1.15      0.8228      0.7322     -0.5048       1.237       1.328       44.48
         1.2      0.8304      0.7322     -0.6016       1.334       1.432       44.59
        1.25       0.839       0.732     -0.6944       1.426       1.533        44.7
         1.3      0.8421      0.7284     -0.7924       1.521       1.634        44.8
        1.35      0.8415      0.7255     -0.8874       1.613       1.729       44.91
         1.4      0.8426      0.7228     -0.9856       1.708       1.828          45
        1.45      0.8466      0.7184      -1.063       1.781       1.909        45.1
         1.5      0.8432      0.7108      -1.148       1.859       1.991       45.19
        1.55      0.8451      0.6941      -1.244       1.938       2.089       45.28
         1.6      0.8461      0.6823      -1.315       1.997       2.161       45.36
        1.65      0.8441      0.6714      -1.372       2.043       2.216       45.44
         1.7      0.8402      0.6576      -1.428       2.086       2.269       45.52
        1.75      0.8316      0.6486      -1.502       2.151       2.334        45.6
         1.8      0.8156      0.6185      -1.578       2.197       2.394       45.68
        1.85      0.8065      0.5859      -1.649       2.235       2.455       45.75
         1.9      0.7969      0.5564      -1.714        2.27       2.511       45.82
        1.95      0.7821      0.5052       -1.79       2.296       2.572       45.89
           2      0.7719      0.4476      -1.867       2.314       2.638       45.96
