#        zzz        K140        K125        K814     C814125     C814140        DMDM
#
           1        0.81      0.7127      -0.416       1.129       1.226        44.1
        1.05      0.8175      0.7102     -0.5204       1.231       1.338       44.23
         1.1      0.8232      0.7046     -0.6256        1.33       1.449       44.36
        1.15      0.8219      0.6953     -0.7257       1.421       1.548       44.48
         1.2      0.8234      0.6856     -0.8223       1.508       1.646       44.59
        1.25      0.8253      0.6765      -0.915       1.591        1.74        44.7
         1.3      0.8211      0.6655      -1.009       1.675        1.83        44.8
        1.35      0.8122      0.6518      -1.105       1.756       1.917       44.91
         1.4      0.8048      0.6381      -1.201       1.839       2.005          45
        1.45      0.7999       0.622      -1.277       1.899       2.077        45.1
         1.5      0.7904      0.6023      -1.366       1.969       2.157       45.19
        1.55      0.7836      0.5757      -1.472       2.048       2.256       45.28
         1.6      0.7756      0.5503       -1.56        2.11       2.336       45.36
        1.65       0.764      0.5253      -1.635        2.16       2.399       45.44
         1.7      0.7498      0.5021      -1.709       2.211       2.459       45.52
        1.75      0.7307      0.4811      -1.804       2.285       2.534        45.6
         1.8      0.7053      0.4392      -1.901        2.34       2.606       45.68
        1.85       0.684      0.3944      -1.994       2.388       2.678       45.75
         1.9      0.6623      0.3507      -2.082       2.433       2.744       45.82
        1.95      0.6387      0.2905      -2.185       2.476       2.824       45.89
           2      0.6163      0.2267      -2.287       2.514       2.903       45.96
